"driver_id","driver_name","experience_years","city"
1,"Ankit Sharma",12,"Delhi"
2,"Mohit Gupta",3,"Prayagraj"
3,"Ankit Agarwal",2,"Noida"
4,"Nitin Sharma",1,"Kanpur"
5,"Arjun Gupta",9,"Noida"
6,"Rahul Agarwal",4,"Prayagraj"
7,"Karan Tiwari",4,"Agra"
8,"Yash Mishra",13,"Kanpur"
9,"Rohit Tiwari",6,"Delhi"
10,"Saurabh Gupta",13,"Delhi"
11,"Ankit Verma",7,"Kanpur"
12,"Abhishek Yadav",10,"Delhi"
13,"Amit Pandey",9,"Kanpur"
14,"Shubham Verma",9,"Delhi"
15,"Varun Yadav",10,"Lucknow"
16,"Vikas Sharma",11,"Lucknow"
17,"Manish Verma",14,"Lucknow"
18,"Ankit Tiwari",5,"Agra"
19,"Abhishek Singh",6,"Delhi"
20,"Arjun Mishra",12,"Prayagraj"
21,"Vikas Jain",11,"Lucknow"
22,"Karan Gupta",3,"Agra"
23,"Shubham Mishra",15,"Prayagraj"
24,"Karan Gupta",11,"Delhi"
25,"Amit Gupta",14,"Kanpur"
26,"Vivek Tiwari",5,"Kanpur"
27,"Arjun Jain",15,"Prayagraj"
28,"Vivek Gupta",11,"Agra"
29,"Shubham Pandey",3,"Delhi"
30,"Saurabh Gupta",12,"Noida"
31,"Karan Mishra",12,"Noida"
32,"Nitin Jain",7,"Delhi"
33,"Mohit Singh",9,"Agra"
34,"Vikas Sharma",14,"Kanpur"
35,"Saurabh Singh",13,"Prayagraj"
36,"Nitin Jain",2,"Agra"
37,"Shubham Jain",8,"Noida"
38,"Deepak Agarwal",14,"Kanpur"
39,"Ankit Agarwal",13,"Delhi"
40,"Vivek Verma",5,"Agra"
41,"Rohit Pandey",1,"Prayagraj"
42,"Deepak Agarwal",13,"Lucknow"
43,"Ayush Verma",14,"Prayagraj"
44,"Manish Agarwal",10,"Lucknow"
45,"Saurabh Yadav",13,"Lucknow"
46,"Karan Agarwal",15,"Kanpur"
47,"Varun Yadav",8,"Kanpur"
48,"Ankit Yadav",15,"Delhi"
49,"Mohit Sharma",4,"Noida"
50,"Vikas Verma",12,"Agra"
51,"Vikas Agarwal",13,"Lucknow"
52,"Saurabh Pandey",9,"Lucknow"
53,"Deepak Agarwal",14,"Noida"
54,"Nitin Gupta",15,"Noida"
55,"Arjun Mishra",7,"Prayagraj"
56,"Abhishek Pandey",15,"Noida"
57,"Pankaj Verma",4,"Lucknow"
58,"Vikas Yadav",1,"Noida"
59,"Karan Gupta",10,"Lucknow"
60,"Rahul Verma",12,"Prayagraj"
61,"Amit Gupta",2,"Kanpur"
62,"Vivek Verma",9,"Lucknow"
63,"Deepak Pandey",4,"Noida"
64,"Saurabh Jain",10,"Agra"
65,"Mohit Pandey",13,"Agra"
66,"Arjun Verma",2,"Prayagraj"
67,"Nitin Yadav",7,"Agra"
68,"Pankaj Sharma",11,"Prayagraj"
69,"Ankit Sharma",7,"Prayagraj"
70,"Vivek Verma",4,"Lucknow"
71,"Arjun Agarwal",8,"Lucknow"
72,"Nitin Singh",5,"Agra"
73,"Mohit Verma",8,"Noida"
74,"Ankit Sharma",11,"Noida"
75,"Rahul Verma",15,"Lucknow"
76,"Rohit Tiwari",8,"Agra"
77,"Arjun Tiwari",15,"Kanpur"
78,"Rohit Tiwari",1,"Agra"
79,"Deepak Pandey",5,"Agra"
80,"Karan Pandey",3,"Lucknow"
81,"Manish Gupta",1,"Noida"
82,"Karan Sharma",12,"Delhi"
83,"Amit Sharma",10,"Agra"
84,"Ayush Agarwal",3,"Kanpur"
85,"Ayush Verma",14,"Lucknow"
86,"Vikas Jain",2,"Prayagraj"
87,"Mohit Tiwari",2,"Noida"
88,"Mohit Jain",10,"Kanpur"
89,"Varun Verma",7,"Prayagraj"
90,"Yash Jain",9,"Delhi"
91,"Deepak Gupta",11,"Prayagraj"
92,"Vivek Gupta",5,"Agra"
93,"Saurabh Mishra",8,"Delhi"
94,"Vikas Sharma",8,"Noida"
